TICKER,ACTUAL,ANNDATS_ACT,ANNTIMS_ACT,FPEDATS1
GOOG,7.64,20101014,16:01:00,30SEP2010
INTC,0.52,20101012,16:15:00,30SEP2010
MSFT,0.62,20101028,16:09:00,30SEP2010
NFLX,0.7,20101020,16:05:00,30SEP2010
TSLA,-0.37,20101109,16:15:00,30SEP2010
AAPL,6.43,20110118,16:30:00,31DEC2010
GOOG,8.75,20110120,16:01:00,31DEC2010
INTC,0.59,20110113,16:15:00,31DEC2010
MSFT,0.77,20110127,15:57:00,31DEC2010
NFLX,0.87,20110126,16:05:00,31DEC2010
TSLA,-0.47,20110215,16:15:00,31DEC2010
AAPL,6.4,20110420,16:30:00,31MAR2011
GOOG,8.08,20110414,16:01:00,31MAR2011
INTC,0.59,20110419,16:15:00,31MAR2011
MSFT,0.56,20110428,16:04:00,31MAR2011
NFLX,1.11,20110425,16:05:00,31MAR2011
TSLA,-0.44,20110504,16:29:00,31MAR2011
AAPL,7.79,20110719,16:30:00,30JUN2011
GOOG,8.74,20110714,16:01:00,30JUN2011
INTC,0.54,20110720,16:23:00,30JUN2011
MSFT,0.69,20110721,16:03:00,30JUN2011
NFLX,1.26,20110725,16:01:00,30JUN2011
TSLA,-0.53,20110803,16:19:00,30JUN2011
AAPL,7.05,20111018,16:30:00,30SEP2011
GOOG,9.72,20111013,16:01:00,30SEP2011
INTC,0.65,20111018,16:05:00,30SEP2011
MSFT,0.68,20111020,16:03:00,30SEP2011
NFLX,1.16,20111024,16:05:00,30SEP2011
TSLA,-0.55,20111102,16:37:00,30SEP2011
AAPL,13.87,20120124,16:30:00,31DEC2011
GOOG,9.5,20120119,16:01:00,31DEC2011
INTC,0.64,20120119,16:02:00,31DEC2011
MSFT,0.78,20120119,16:02:00,31DEC2011
NFLX,0.73,20120125,16:05:00,31DEC2011
TSLA,-0.69,20120215,16:10:00,31DEC2011
AAPL,12.3,20120424,16:30:00,31MAR2012
GOOG,10.08,20120412,16:05:00,31MAR2012
INTC,0.53,20120417,16:01:00,31MAR2012
MSFT,0.6,20120419,16:01:00,31MAR2012
NFLX,-0.08,20120423,16:02:00,31MAR2012
TSLA,-0.76,20120509,16:11:00,31MAR2012
AAPL,9.32,20120724,16:30:00,30JUN2012
GOOG,10.12,20120719,16:01:00,30JUN2012
INTC,0.54,20120717,16:01:00,30JUN2012
MSFT,0.67,20120719,16:02:00,30JUN2012
NFLX,0.11,20120724,16:05:00,30JUN2012
TSLA,-0.89,20120725,16:05:00,30JUN2012
AAPL,8.67,20121025,16:30:00,30SEP2012
GOOG,9.03,20121018,12:30:00,30SEP2012
INTC,0.58,20121016,16:01:00,30SEP2012
MSFT,0.53,20121018,16:00:00,30SEP2012
NFLX,0.13,20121023,16:05:00,30SEP2012
TSLA,-0.92,20121105,6:30:00,30SEP2012
AAPL,13.81,20130123,16:30:00,31DEC2012
GOOG,10.59,20130122,16:02:00,31DEC2012
INTC,0.48,20130117,16:01:00,31DEC2012
MSFT,0.76,20130124,16:01:00,31DEC2012
NFLX,0.13,20130123,16:05:00,31DEC2012
TSLA,-0.65,20130220,16:05:00,31DEC2012
AAPL,10.09,20130423,16:30:00,31MAR2013
GOOG,11.58,20130418,16:08:00,31MAR2013
INTC,0.4,20130416,16:01:00,31MAR2013
MSFT,0.72,20130418,16:02:00,31MAR2013
NFLX,0.31,20130422,16:07:00,31MAR2013
TSLA,0.12,20130508,17:29:00,31MAR2013
